id,angular_moment,contrast,variance,idm,sum_average,entropy,sum_variance,sum_entropy,difference_variance,difference_entropy
fyc-00_1,7070256838.0,15909626.0,2.29e+18,91263.22508,8713747.0,123714.028,9.84e+18,-518598.9553,3.06e+16,532570.9575
fyc-00_2,7734562070.0,18688576.0,2.24e+18,94423.16098,8557256.0,125318.9529,9.49e+18,-526682.9493,3.33e+16,544934.9047
fyc-00_3,8053126264.0,21118254.0,1.37e+18,94315.20521,6826807.0,120450.2936,6.04e+18,-539756.905,2.84e+16,529660.5816
fyc-00_4,5134624258.0,15002928.0,3.65e+18,87904.06015,10758003.0,129731.2226,1.5e+19,-480278.0383,3.51e+16,545083.7116
hy-00_1,5340406260.0,16653486.0,2.68e+18,86929.85759,9355066.0,125773.8747,1.13e+19,-488447.4462,3.3e+16,529391.4476
hy-00_2,7356895356.0,19682866.0,1.56e+18,91547.94763,7230755.0,122522.5747,6.77e+18,-524805.7175,3.19e+16,528421.5772
hy-00_3,7500614876.0,20116630.0,1.7e+18,92145.50507,7544977.0,122344.5566,7.37e+18,-527572.8833,3.14e+16,530498.3415
hy-00_4,6730910464.0,18389200.0,1.76e+18,89994.22762,7641098.0,123389.8369,7.56e+18,-513880.25,3.22e+16,528273.1446
ljg-00_1,6818866422.0,18583708.0,3.39e+18,90833.12211,10493766.0,126294.3097,1.43e+19,-509262.2789,3.54e+16,539450.9403
ljg-00_2,4516018826.0,12964862.0,5.08e+18,83559.51421,12592095.0,132682.5018,2.05e+19,-462729.5769,3.76e+16,546447.4715
ljg-00_3,6083607468.0,16559972.0,2.64e+18,86433.45247,9413287.0,122657.8182,1.15e+19,-502375.8471,3.17e+16,516714.3251
ljg-00_4,4555740322.0,13228172.0,5.25e+18,84858.406,12803745.0,132233.1528,2.12e+19,-464737.9643,3.77e+16,548058.5934
lqf-00_1,6098665020.0,20596892.0,2.71e+18,87576.29031,9506567.0,123109.7629,1.17e+19,-503465.9503,3.65e+16,522116.7269
lqf-00_2,5756544130.0,19617966.0,3.31e+18,85903.09167,10403377.0,125867.0232,1.4e+19,-492370.9924,3.92e+16,525951.0396
lqf-00_3,6548612726.0,20239772.0,2.76e+18,88686.6686,9595933.0,123290.7839,1.19e+19,-509139.8059,3.54e+16,523105.5539
lqf-00_4,5751882734.0,17318102.0,3.11e+18,86710.35543,10057424.0,126531.1927,1.31e+19,-492242.8577,3.61e+16,530919.3991
lsl-00_1,6557468832.0,18422980.0,2.82e+18,89784.11115,9589799.0,125825.454,1.19e+19,-506460.0589,3.42e+16,536224.9082
lsl-00_2,6334244522.0,16020588.0,2.99e+18,88392.5989,9812552.0,127662.0555,1.25e+19,-500112.8256,3.78e+16,539840.0446
lsl-00_3,6328023242.0,16603156.0,3.14e+18,88993.09058,10092994.0,126735.3048,1.32e+19,-501131.9498,3.52e+16,537095.1065
lsl-00_4,6780769176.0,17705986.0,2.69e+18,90322.65535,9323209.0,126847.584,1.13e+19,-508070.0458,3.53e+16,540464.8559
ml-00_1,6885676130.0,17411620.0,3.78e+18,93762.7704,10956414.0,129152.3589,1.56e+19,-509815.0585,3.51e+16,555682.0452
ml-00_2,4330248214.0,16797982.0,4.85e+18,84412.94844,12417127.0,129733.4416,2e+19,-465097.2072,3.69e+16,538046.668
ml-00_3,5367522488.0,14379542.0,4.15e+18,89048.28895,11474789.0,129673.1763,1.71e+19,-485402.5075,3.55e+16,548280.7415
ml-00_4,7123344644.0,19644522.0,1.87e+18,90519.59039,7928505.0,122041.7861,8.14e+18,-522158.4942,3.12e+16,526024.7312
